Price,Name,CPU,RAM,Hard Disk,GPU,Screen,Warranty,Stock,Status
24.990.000,Lenovo Legion 5,Core i7-11800H,16GB,512GB,RTX 3060,"15.6"" 2K 165Hz 100% sRGB",12 tháng LaptopAZ,Còn hàng,New 100%
28.390.000,Asus ROG Zephyrus G15 GA503RM,Ryzen 7-6800HS,16GB,512GB,RTX 3060 6GB,15.6'' QHD+ 240Hz,12 tháng tại LaptopAZ,Còn hàng,New 100%
19.890.000,Lenovo LOQ 2023 82XV002LUS,Core i5-13420H,8GB,1TB,RTX 3050 6GB,"15.6"" FHD 144Hz",12 tháng LaptopAZ,Còn hàng,New 100%
32.890.000,Lenovo Legion Slim 5 2023,Y7000P) (Core i7-13700H,16GB,1TB,RTX 4060 8GB,16'' 2K+ 165Hz,12 tháng LaptopAZ,Còn hàng,New 100%
25.690.000,Acer Nitro 16 2023,Core i5-13500H,16GB,512GB,RTX 4050 6GB,"16"" FHD+ IPS 165Hz",12 tháng LaptopAZ,Còn hàng,New 100%
39.890.000,Lenovo Legion Pro 5 Y9000P 2023,Core i9-13900HX,16GB,1TB,RTX 4060 8GB,"16"" WQXGA 240Hz",12 tháng LaptopAZ,Còn hàng,New 100%
17.990.000,Dell Gaming G15 5525,Ryzen 5-6600H,8GB,512GB,RTX 3050 4GB,15.6'' FHD 120Hz,12 tháng LaptopAZ,Còn hàng,New 100%
17.990.000,Acer Nitro 5 2022 AN517-55,Core i5-12500H,8GB,512GB,RTX 3050,"17.3"" FHD IPS 144Hz",12 tháng LaptopAZ,Còn hàng,New Outlet
27.990.000,Acer Gaming Predator Helios 300 2022 PH315-55-70ZV,Core i7-12700H,16GB,512GB,RTX 3060 6GB,15.6'' FHD 165Hz,12 tháng LaptopAZ,Còn hàng,New 100%
16.990.000,Acer Nitro 5 2022 AN517-55,Core i5 - 12500H,8GB,256GB,RTX 3050,"17.3"" FHD IPS 144Hz",12 tháng LaptopAZ,Còn hàng,New Outlet
22.990.000,Asus  ROG Zephyrus G14 GA401QM,Ryzen 7-5800HS,16GB,512GB,RTX 3060,"14"" FHD IPS 144Hz",12 tháng LaptopAZ,Còn hàng,New 100%
21.790.000,Asus ROG Strix G15 2022 G513RC,Ryzen 7-6800HS,8GB,512GB,RTX 3050,15.6'' FHD 144Hz,24 tháng Asus Việt Nam,Còn hàng,New 100%
23.890.000,Acer Nitro 5 Tiger 2022 AN515-58,Core i7 - 12700H,8GB,512GB,RTX 3050Ti,"15.6"" FHD IPS 144Hz",12 tháng LaptopAZ,Còn hàng,New 100%
27.890.000,Lenovo Legion 5 Pro 16ACH6H,Ryzen 7 - 5800H,16GB,512GB,RTX 3060,"16"" WQXGA 165Hz",12 tháng LaptopAZ,Còn hàng,New 100%
26.490.000,Acer Predator Helios Neo 2023 PHN16-71-57W1,Core i5-13500HX,16GB,512GB,RTX 4050 6GB,"16"" FHD+ 165Hz",12 tháng LaptopAZ,Còn hàng,New 100%
23.890.000,Lenovo Legion R7000P 2022,Ryzen 7-6800H,16GB,512GB,RTX 3050 4GB,15.6'' 2K+ 165Hz,12 tháng LaptopAZ,Còn hàng,New 100%
18.890.000,Acer Nitro 5 2022 AN515-58,Core i5 - 12500H,16GB,512GB,RTX 3050Ti,"15.6"" FHD IPS 144Hz",12 tháng LaptopAZ,Còn hàng,New Outlet
35.890.000,Lenovo Legion Pro 5 Y9000P 2023,Core i9-13900HX,16GB,1TB,RTX 4050 6GB,"16"" WQXGA 240Hz",12 tháng LaptopAZ,Còn hàng,New 100%
24.690.000,Dell Gaming G15 5520 2022,Core i7-12700H,16GB,512GB,RTX 3060,"15.6"" FHD 165Hz",12 tháng tại LaptopAZ,Còn hàng,New 100%
35.890.000,Lenovo Legion 5 Pro 2022 16ARH7H,Ryzen 9 - 6900HX,16GB,1TB,RTX 3070Ti 8GB,16'' WQXGA 165Hz,12 tháng Laptop AZ,Còn hàng,New 100%
20.890.000,Dell Gaming G15 5520 2022,Core i5-12500H,16GB,512GB,RTX 3050Ti 4GB,"15.6"" FHD 165Hz",12 tháng LaptopAZ,Còn hàng,New 100%
29.890.000,Lenovo Legion Slim 5 2023 Gen 8,R7000P) (Ryzen 7-7840H,16GB,1TB,RTX 4060 8GB,16'' 2K+ 165Hz,12 tháng LaptopAZ,Còn hàng,New 100%
26.890.000,Lenovo GeekPro G5000 2023,Ryzen 7-7840H,16GB,512GB,RTX 4060 8GB,"15.6"" 2K+ 165Hz",12 tháng LaptopAZ,Còn hàng,New 100%
25.890.000,Lenovo GeekPro G5000 2023,Ryzen 7-7840H,16GB,512GB,RTX 4050 6GB,"15.6"" 2K+ 165Hz",12 tháng LaptopAZ,Còn hàng,New 100%
28.890.000,Asus ROG Zephyrus G15 GA503RM 2022,Ryzen 9-6900HS,16GB,512GB,RTX 3060 6GB,15.6'' QHD+ 165Hz,12 tháng tại LaptopAZ,Còn hàng,New 100%
34.890.000,Lenovo Legion Pro 5 R9000P 2023 ARX8,Ryzen 7-7745HX,16GB,1TB,RTX 4060 8GB,"16"" WQXGA 240Hz",12 tháng LaptopAZ,Còn hàng,New 100%
24.890.000,Lenovo GeekPro G5000 2023,Core i5-13500H,16GB,1TB,RTX 4050 6GB,"15.6"" 2K+ 165Hz",12 tháng LaptopAZ,Liên hệ,New 100%
25.990.000,Lenovo Legion 5 Pro,Core i7-12700H,16GB,512GB,RTX 3050Ti 4GB,16'' WQXGA 165Hz,12 tháng LaptopAZ,Còn hàng,New Outlet
28.890.000,Dell Gaming G16 7620,Core i7-12700H,16GB,512GB,RTX 3060 6GB,"16"" QHD+ 165Hz IPS",12 tháng LaptopAZ,Còn hàng,New 100%
21.890.000,Dell Gaming G15 5525,Ryzen 7-6800H,16GB,512GB,NVIDIA RTX 3050Ti 4GB,15.6'' FHD 120Hz,12 tháng LaptopAZ,Còn hàng,New 100%
19.890.000,Dell Gaming G15 5520 2022,Core i5-12500H,16GB,512GB,RTX 3050 4GB,"15.6"" FHD 120Hz",12 tháng LaptopAZ,Còn hàng,New 100%
22.890.000,Lenovo Legion 5 17ACH6,Ryzen 7-5800H,8GB,512GB,RTX3050,17.3 FHD IPS 144Hz,12 tháng LaptopAZ,Còn hàng,New 100%
26.890.000,Lenovo Legion 5 15IAH7H,Core i7-12700H,16GB,512GB,RTX 3060 6GB,"15.6"" 2K+ IPS 165Hz",12 tháng Laptop AZ,Còn hàng,New Outlet
20.890.000,Acer Nitro 5 Tiger 2022 AN515-58,Core i5 - 12500H,16GB,512GB,RTX 3050Ti,"15.6"" FHD IPS 165Hz 100% sRGB",12 tháng LaptopAZ,Còn hàng,New 100%
None,Acer Nitro 5 AN515-46-R2C2,Ryzen 7 - 6800H,16GB,512GB,RTX 3050,"15.6"" FHD IPS 165Hz 100% sRGB",12 tháng LaptopAZ,Còn hàng,New 100%
13.890.000,Acer Nitro 5 AN515-55-50V2,Core i5-10300H,16GB,512GB,GTX1650Ti 4GB DDR6,15.6' FHD 144Hz,12 tháng LaptopAZ,Liên hệ,Like New
35.890.000,Lenovo Legion Pro 5 R9000P 2023,Ryzen 9-7945HX,16GB,1TB,RTX 4060 8GB,"16"" WQXGA 240Hz",12 tháng LaptopAZ,Còn hàng,New 100%
25.990.000,Gigabyte G5 MF-E3VN313SH,Core i5-12500H,16GB,512GB,RTX 4060 8GB,"15.6"" FHD 144Hz",24 tháng Gigabyte Việt Nam,Còn hàng,New 100%
22.790.000,Gigabyte G5 MF-E2VN333SH,Core i5-12500H,8GB,512GB,RTX 4050 6GB,"15.6"" FHD 144Hz",24 tháng Gigabyte Việt Nam,Còn hàng,New 100%
29.590.000,Lenovo Legion Y9000X IAH7,Core i7-12700H,16GB,512GB,RTX 3050Ti 4GB,16'' QHD 165Hz,12 tháng LaptopAZ,Còn hàng,New 100%
24.990.000,Lenovo Legion 5,Core i7-11800H,16GB,512GB,RTX 3060,"15.6"" 2K 165Hz 100% sRGB",12 tháng LaptopAZ,Còn hàng,New 100%
28.390.000,Asus ROG Zephyrus G15 GA503RM,Ryzen 7-6800HS,16GB,512GB,RTX 3060 6GB,15.6'' QHD+ 240Hz,12 tháng tại LaptopAZ,Còn hàng,New 100%
19.890.000,Lenovo LOQ 2023 82XV002LUS,Core i5-13420H,8GB,1TB,RTX 3050 6GB,"15.6"" FHD 144Hz",12 tháng LaptopAZ,Còn hàng,New 100%
32.890.000,Lenovo Legion Slim 5 2023,Y7000P) (Core i7-13700H,16GB,1TB,RTX 4060 8GB,16'' 2K+ 165Hz,12 tháng LaptopAZ,Còn hàng,New 100%
25.690.000,Acer Nitro 16 2023,Core i5-13500H,16GB,512GB,RTX 4050 6GB,"16"" FHD+ IPS 165Hz",12 tháng LaptopAZ,Còn hàng,New 100%
39.890.000,Lenovo Legion Pro 5 Y9000P 2023,Core i9-13900HX,16GB,1TB,RTX 4060 8GB,"16"" WQXGA 240Hz",12 tháng LaptopAZ,Còn hàng,New 100%
17.990.000,Dell Gaming G15 5525,Ryzen 5-6600H,8GB,512GB,RTX 3050 4GB,15.6'' FHD 120Hz,12 tháng LaptopAZ,Còn hàng,New 100%
17.990.000,Acer Nitro 5 2022 AN517-55,Core i5-12500H,8GB,512GB,RTX 3050,"17.3"" FHD IPS 144Hz",12 tháng LaptopAZ,Còn hàng,New Outlet
27.990.000,Acer Gaming Predator Helios 300 2022 PH315-55-70ZV,Core i7-12700H,16GB,512GB,RTX 3060 6GB,15.6'' FHD 165Hz,12 tháng LaptopAZ,Còn hàng,New 100%
16.990.000,Acer Nitro 5 2022 AN517-55,Core i5 - 12500H,8GB,256GB,RTX 3050,"17.3"" FHD IPS 144Hz",12 tháng LaptopAZ,Còn hàng,New Outlet
22.990.000,Asus  ROG Zephyrus G14 GA401QM,Ryzen 7-5800HS,16GB,512GB,RTX 3060,"14"" FHD IPS 144Hz",12 tháng LaptopAZ,Còn hàng,New 100%
21.790.000,Asus ROG Strix G15 2022 G513RC,Ryzen 7-6800HS,8GB,512GB,RTX 3050,15.6'' FHD 144Hz,24 tháng Asus Việt Nam,Còn hàng,New 100%
23.890.000,Acer Nitro 5 Tiger 2022 AN515-58,Core i7 - 12700H,8GB,512GB,RTX 3050Ti,"15.6"" FHD IPS 144Hz",12 tháng LaptopAZ,Còn hàng,New 100%
27.890.000,Lenovo Legion 5 Pro 16ACH6H,Ryzen 7 - 5800H,16GB,512GB,RTX 3060,"16"" WQXGA 165Hz",12 tháng LaptopAZ,Còn hàng,New 100%
26.490.000,Acer Predator Helios Neo 2023 PHN16-71-57W1,Core i5-13500HX,16GB,512GB,RTX 4050 6GB,"16"" FHD+ 165Hz",12 tháng LaptopAZ,Còn hàng,New 100%
23.890.000,Lenovo Legion R7000P 2022,Ryzen 7-6800H,16GB,512GB,RTX 3050 4GB,15.6'' 2K+ 165Hz,12 tháng LaptopAZ,Còn hàng,New 100%
18.890.000,Acer Nitro 5 2022 AN515-58,Core i5 - 12500H,16GB,512GB,RTX 3050Ti,"15.6"" FHD IPS 144Hz",12 tháng LaptopAZ,Còn hàng,New Outlet
35.890.000,Lenovo Legion Pro 5 Y9000P 2023,Core i9-13900HX,16GB,1TB,RTX 4050 6GB,"16"" WQXGA 240Hz",12 tháng LaptopAZ,Còn hàng,New 100%
24.690.000,Dell Gaming G15 5520 2022,Core i7-12700H,16GB,512GB,RTX 3060,"15.6"" FHD 165Hz",12 tháng tại LaptopAZ,Còn hàng,New 100%
35.890.000,Lenovo Legion 5 Pro 2022 16ARH7H,Ryzen 9 - 6900HX,16GB,1TB,RTX 3070Ti 8GB,16'' WQXGA 165Hz,12 tháng Laptop AZ,Còn hàng,New 100%
20.890.000,Dell Gaming G15 5520 2022,Core i5-12500H,16GB,512GB,RTX 3050Ti 4GB,"15.6"" FHD 165Hz",12 tháng LaptopAZ,Còn hàng,New 100%
29.890.000,Lenovo Legion Slim 5 2023 Gen 8,R7000P) (Ryzen 7-7840H,16GB,1TB,RTX 4060 8GB,16'' 2K+ 165Hz,12 tháng LaptopAZ,Còn hàng,New 100%
26.890.000,Lenovo GeekPro G5000 2023,Ryzen 7-7840H,16GB,512GB,RTX 4060 8GB,"15.6"" 2K+ 165Hz",12 tháng LaptopAZ,Còn hàng,New 100%
25.890.000,Lenovo GeekPro G5000 2023,Ryzen 7-7840H,16GB,512GB,RTX 4050 6GB,"15.6"" 2K+ 165Hz",12 tháng LaptopAZ,Còn hàng,New 100%
28.890.000,Asus ROG Zephyrus G15 GA503RM 2022,Ryzen 9-6900HS,16GB,512GB,RTX 3060 6GB,15.6'' QHD+ 165Hz,12 tháng tại LaptopAZ,Còn hàng,New 100%
34.890.000,Lenovo Legion Pro 5 R9000P 2023 ARX8,Ryzen 7-7745HX,16GB,1TB,RTX 4060 8GB,"16"" WQXGA 240Hz",12 tháng LaptopAZ,Còn hàng,New 100%
24.890.000,Lenovo GeekPro G5000 2023,Core i5-13500H,16GB,1TB,RTX 4050 6GB,"15.6"" 2K+ 165Hz",12 tháng LaptopAZ,Liên hệ,New 100%
25.990.000,Lenovo Legion 5 Pro,Core i7-12700H,16GB,512GB,RTX 3050Ti 4GB,16'' WQXGA 165Hz,12 tháng LaptopAZ,Còn hàng,New Outlet
28.890.000,Dell Gaming G16 7620,Core i7-12700H,16GB,512GB,RTX 3060 6GB,"16"" QHD+ 165Hz IPS",12 tháng LaptopAZ,Còn hàng,New 100%
21.890.000,Dell Gaming G15 5525,Ryzen 7-6800H,16GB,512GB,NVIDIA RTX 3050Ti 4GB,15.6'' FHD 120Hz,12 tháng LaptopAZ,Còn hàng,New 100%
19.890.000,Dell Gaming G15 5520 2022,Core i5-12500H,16GB,512GB,RTX 3050 4GB,"15.6"" FHD 120Hz",12 tháng LaptopAZ,Còn hàng,New 100%
22.890.000,Lenovo Legion 5 17ACH6,Ryzen 7-5800H,8GB,512GB,RTX3050,17.3 FHD IPS 144Hz,12 tháng LaptopAZ,Còn hàng,New 100%
26.890.000,Lenovo Legion 5 15IAH7H,Core i7-12700H,16GB,512GB,RTX 3060 6GB,"15.6"" 2K+ IPS 165Hz",12 tháng Laptop AZ,Còn hàng,New Outlet
20.890.000,Acer Nitro 5 Tiger 2022 AN515-58,Core i5 - 12500H,16GB,512GB,RTX 3050Ti,"15.6"" FHD IPS 165Hz 100% sRGB",12 tháng LaptopAZ,Còn hàng,New 100%
None,Acer Nitro 5 AN515-46-R2C2,Ryzen 7 - 6800H,16GB,512GB,RTX 3050,"15.6"" FHD IPS 165Hz 100% sRGB",12 tháng LaptopAZ,Còn hàng,New 100%
13.890.000,Acer Nitro 5 AN515-55-50V2,Core i5-10300H,16GB,512GB,GTX1650Ti 4GB DDR6,15.6' FHD 144Hz,12 tháng LaptopAZ,Liên hệ,Like New
35.890.000,Lenovo Legion Pro 5 R9000P 2023,Ryzen 9-7945HX,16GB,1TB,RTX 4060 8GB,"16"" WQXGA 240Hz",12 tháng LaptopAZ,Còn hàng,New 100%
25.990.000,Gigabyte G5 MF-E3VN313SH,Core i5-12500H,16GB,512GB,RTX 4060 8GB,"15.6"" FHD 144Hz",24 tháng Gigabyte Việt Nam,Còn hàng,New 100%
22.790.000,Gigabyte G5 MF-E2VN333SH,Core i5-12500H,8GB,512GB,RTX 4050 6GB,"15.6"" FHD 144Hz",24 tháng Gigabyte Việt Nam,Còn hàng,New 100%
29.590.000,Lenovo Legion Y9000X IAH7,Core i7-12700H,16GB,512GB,RTX 3050Ti 4GB,16'' QHD 165Hz,12 tháng LaptopAZ,Còn hàng,New 100%
16.890.000,Laptop Gaming Acer Nitro 5 2021 AN515-57-79TD,Core i7 - 11800H,8GB,512GB,RTX 3050Ti 4GB,15.6'' FHD IPS 144Hz,12 tháng LaptopAZ,Còn hàng,New Outlet
23.890.000,Dell Gaming G15 5525,Ryzen 7-6800H,16GB,512GB,RTX 3060 6GB,15.6'' FHD 165Hz,12 tháng LaptopAZ,Còn hàng,New 100%
46.890.000,Dell Gaming G16 7630 2023,Core i9-13900HX,16GB,1TB,RTX 4060 8GB,"16"" QHD 240Hz",12 tháng LaptopAZ,Còn hàng,New 100%
30.890.000,Lenovo Legion 5 Pro Y9000P,Core i9-12900H,16GB,512GB,RTX 3060 6GB,16'' WQXGA 165Hz,12 tháng Laptop AZ,Còn hàng,New 100%
27.390.000,Acer Gaming Predator Helios 300 2022 PH315-55-745Q,Core i7-12700H,8GB,512GB,RTX 3060 6GB,15.6'' FHD 165Hz,12 tháng LaptopAZ,Còn hàng,New 100%
30.890.000,Dell Gaming G16 7620,Core i7-12700H,16GB,1TB,RTX 3060 6GB,"16"" QHD+ 165Hz IPS",12 tháng LaptopAZ,Còn hàng,New 100%
None,Acer Gaming Predator Helios 300 2022 PH315-55-70ZV,Core i7-12700H,16GB,512GB,RTX 3060 6GB,15.6'' FHD 165Hz,12 tháng LaptopAZ,Liên hệ,New Outlet
22.890.000,Lenovo Legion 5 R7000P,Ryzen 7-5800H,16GB,512GB,RTX 3050,15.6'' FHD 100% sRGB,12 tháng LaptopAZ,Còn hàng,New 100%
17.690.000,Asus ROG Strix G15 G513IH-HN015W,Ryzen 7-4800H,8GB,512GB,GTX 1650,15.6'' FHD 144Hz,24 tháng Asus Việt Nam,Còn hàng,New 100%
24.890.000,Lenovo Legion 5 15ACH6H,Ryzen 7-5800H,16GB,512GB,RTX 3060,15.6'' FHD 165Hz,12 tháng LaptopAZ,Còn hàng,New 100%
27.990.000,Acer Predator Helios Neo 2023 PHN16-71-54W3,Core i5-13500HX,16GB,512GB,RTX 4050 6GB,"16"" WQXGA 165Hz",12 tháng LaptopAZ,Liên hệ,New 100%
